trip_id,route_family,departure,sunny_powertrain,rain_powertrain,service_distance_km
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0716,渋22,07:16,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu21.0004602970.Shibuyaeki.00240050.5.Weekday.0719,渋21,07:19,BEV,BEV,5.62273
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0721,渋21,07:21,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0723,渋23,07:23,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0726,渋23,07:26,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0729,渋22,07:29,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0731,渋22,07:31,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0738,渋23,07:38,BEV,BEV,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0739,渋22,07:39,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0743,渋23,07:43,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0745,渋22,07:45,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0749,渋22,07:49,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0751,渋21,07:51,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0752,渋23,07:52,BEV,BEV,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0757,渋22,07:57,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0757,渋23,07:57,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu21.0004602970.Shibuyaeki.00240050.5.Weekday.0800,渋21,08:00,BEV,BEV,5.62273
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0807,渋22,08:07,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0811,渋22,08:11,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0813,渋23,08:13,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0816,渋23,08:16,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0821,渋22,08:21,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0828,渋23,08:28,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0831,渋22,08:31,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu21.0004600838.Kamimachieki.00240154.a.Weekday.0833,渋21,08:33,BEV,BEV,5.508238
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0833,渋23,08:33,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602174.Soshigayaookuraeki.00240324.1.Weekday.0835,渋23,08:35,BEV,BEV,3.241521
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0836,渋22,08:36,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0844,渋23,08:44,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.0846,渋21,08:46,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0850,渋22,08:50,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0853,渋23,08:53,BEV,BEV,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0854,渋22,08:54,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.0856,渋21,08:56,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.0903,渋21,09:03,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0905,渋23,09:05,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0909,渋22,09:09,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.0910,渋21,09:10,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0912,渋23,09:12,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0916,渋22,09:16,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0925,渋22,09:25,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0927,渋23,09:27,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0929,渋23,09:29,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0937,渋22,09:37,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.0941,渋21,09:41,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.0941,渋22,09:41,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.0946,渋23,09:46,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.0947,渋23,09:47,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.0957,渋22,09:57,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1000,渋22,10:00,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1006,渋23,10:06,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1007,渋23,10:07,BEV,BEV,9.376639
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.1014,渋21,10:14,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1018,渋22,10:18,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1020,渋22,10:20,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1025,渋23,10:25,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1027,渋23,10:27,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.1032,渋21,10:32,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1036,渋22,10:36,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1038,渋22,10:38,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1045,渋23,10:45,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1046,渋23,10:46,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1055,渋22,10:55,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1058,渋22,10:58,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.1101,渋21,11:01,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1105,渋23,11:05,BEV,BEV,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1106,渋23,11:06,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu21.0004602974.Shibuyaeki.00240050.5.Weekday.1109,渋21,11:09,BEV,BEV,5.817547
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1115,渋22,11:15,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1118,渋22,11:18,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1125,渋23,11:25,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1125,渋23,11:25,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1135,渋22,11:35,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1138,渋22,11:38,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1145,渋23,11:45,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1145,渋23,11:45,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1155,渋22,11:55,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1158,渋22,11:58,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1205,渋23,12:05,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1205,渋23,12:05,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1215,渋22,12:15,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1218,渋22,12:18,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1225,渋23,12:25,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1225,渋23,12:25,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1235,渋22,12:35,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1238,渋22,12:38,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1245,渋23,12:45,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1248,渋23,12:48,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1255,渋22,12:55,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1301,渋22,13:01,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1305,渋23,13:05,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1308,渋23,13:08,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1315,渋22,13:15,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1321,渋22,13:21,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1325,渋23,13:25,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1328,渋23,13:28,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1335,渋22,13:35,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1341,渋22,13:41,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1345,渋23,13:45,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1348,渋23,13:48,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1355,渋22,13:55,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1401,渋22,14:01,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1405,渋23,14:05,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1408,渋23,14:08,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1415,渋22,14:15,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1421,渋22,14:21,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1425,渋23,14:25,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1428,渋23,14:28,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1435,渋22,14:35,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1441,渋22,14:41,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1445,渋23,14:45,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1452,渋23,14:52,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1455,渋22,14:55,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.1503,渋21,15:03,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1503,渋22,15:03,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1505,渋23,15:05,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1514,渋23,15:14,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1515,渋22,15:15,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.1524,渋21,15:24,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1525,渋23,15:25,BEV,BEV,9.376639
odpt.BusTimetable:TokyuBus.Shibu21.0004602125.Sakurashougakkou.00240160.a.Weekday.1526,渋21,15:26,BEV,BEV,5.703012
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1526,渋22,15:26,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1533,渋23,15:33,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1535,渋22,15:35,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1544,渋23,15:44,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1546,渋22,15:46,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1552,渋22,15:52,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1552,渋23,15:52,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1600,渋23,16:00,BEV,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1606,渋22,16:06,BEV,BEV,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1609,渋22,16:09,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1613,渋23,16:13,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1618,渋23,16:18,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1626,渋22,16:26,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1628,渋22,16:28,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1633,渋23,16:33,BEV,BEV,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1637,渋23,16:37,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1646,渋22,16:46,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1647,渋22,16:47,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1653,渋23,16:53,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1656,渋23,16:56,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1703,渋22,17:03,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1706,渋22,17:06,BEV,BEV,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1709,渋23,17:09,BEV,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1715,渋23,17:15,ICE,ICE,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1719,渋22,17:19,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1725,渋22,17:25,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1727,渋23,17:27,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1735,渋23,17:35,BEV,BEV,9.376639
odpt.BusTimetable:TokyuBus.Shibu22.0004602849.Yougaeki.00240311.2.Weekday.1739,渋22,17:39,BEV,ICE,8.763639
odpt.BusTimetable:TokyuBus.Shibu22.0004602969.Shibuyaeki.00240050.5.Weekday.1744,渋22,17:44,BEV,ICE,8.878174
odpt.BusTimetable:TokyuBus.Shibu23.0004600812.Soshigayaookuraeki.00240324.1.Weekday.1745,渋23,17:45,ICE,ICE,9.262104
odpt.BusTimetable:TokyuBus.Shibu23.0004602972.Shibuyaeki.00240050.5.Weekday.1753,渋23,17:53,BEV,ICE,9.376639
